Model;DEV;UAT;PRD
TAB_Delivery;sa4datateam4dl4mh4dev;sa4datateam4dl4mh4prod;sa4datateam4dl4mh4prod
TAB_4G;sa4data4dip4uat;sa4data4dip4uat;sa4data4dip4prd
TAB_4G;sa4data4cip4uat;sa4data4cip4uat;sa4data4cip4prd
TAB_Inventory_Insights;sa4data4dip4uat;sa4data4dip4uat;sa4data4dip4prd
TAB_Nielsen;sa4data4laz4uat;sa4data4laz4uat;sa4data4laz4prd
TAB_Commercial_Insights;sa4data4cip4uat;sa4data4cip4prd;sa4data4cip4prd
TAB_Commercial_Insights_Freezed_2023;sa4data4cip4uat;sa4data4cip4prd;sa4data4cip4prd
TAB_Commercial_Insights_Programmatic;sa4data4cip4uat;sa4data4cip4prd;sa4data4cip4prd
TAB_Commercial_Insights_Programmatic;sa4data4common4uat;sa4data4common4prd;sa4data4common4prd
TAB_Nielsen;sa4data4cip4uat;sa4data4cip4uat;sa4data4cip4prd
TAB_Nielsen;sa4data4tip4uat;sa4data4tip4uat;sa4data4tip4prd
TAB_Campaign_Insights;sa4data4cip4uat;sa4data4cip4uat;sa4data4cip4prd
TAB_Pipeline_Insights;sa4data4cip4uat;sa4data4cip4prd;sa4data4cip4prd
TAB_Pipeline_Insights;sa4data4laz4uat;sa4data4laz4prd;sa4data4laz4prd
TAB_Pipeline_Insights;sa4data4dynamics4uat;sa4data4dynamics4prd;sa4data4dynamics4prd
TAB_Pipeline_Insights;sa4data4map4uat;sa4data4map4prd;sa4data4map4prd
TAB_Pipeline_Insights;sa4data4tip4uat;sa4data4tip4prd;sa4data4tip4prd
TAB_MH_Inventory;sa4data4dip4uat;sa4data4dip4uat;sa4data4dip4prd
TAB_MH_Inventory;sa4data4dynamics4uat;sa4data4dynamics4uat;sa4data4dynamics4prd
TAB_KGRP_Net;sa4data4laz4uat;sa4data4laz4prd;sa4data4laz4prd
TAB_Campaign_Insights;sa4data4dip4uat;sa4data4dip4uat;sa4data4dip4prd
TAB_Segment_Insights;sa4data4dip4uat;sa4data4dip4uat;sa4data4dip4prd
TAB_MDB;sa4data4dip4uat;sa4data4dip4uat;sa4data4dip4prd
TAB_MDB;sa4data4cip4uat;sa4data4cip4uat;sa4data4cip4prd
TAB_Frequency;sa4data4dip4uat;sa4data4dip4uat;sa4data4dip4prd
TAB_Sales_Activity;sa4data4dynamics4uat;sa4data4dynamics4prd;sa4data4dynamics4prd
TAB_Finance_Reporting;sa4data4dynamics4uat;sa4data4dynamics4prd;sa4data4dynamics4prd
TAB_Remuneratie;sa4data4common4uat;sa4data4common4prd;sa4data4common4prd
TAB_Remuneratie;sa4data4dip4uat;sa4data4dip4uat;sa4data4dip4prd
TAB_PowerBI_Activities;sa4data4common4uat;sa4data4common4uat;sa4data4common4prd